actual_date,due,cash,offset,cash_c,cash_b
26/5/17,484000,25000,81000,0,45000
26/6/17,483026.59,37650,65026,11650,46000
26/7/17,481903.22,42606,68446,15606,47000
26/8/17,480745.07,53028,71886,25028,48000
26/9/17,479571,55079,75303,26079,49000
26/10/17,478311.16,61080,78740,31080,50000
26/11/17,477058.57,63731,82177,32731,51000
26/12/17,475756.3,60153,85614,28153,52000
26/1/18,474463.74,67605,91351,34605,53000
26/2/18,473135.53,70594,97088,36594,54000
26/3/18,471681.12,73655,102825,38655,55000
26/4/18,470281.62,77146,108562,41146,56000
26/5/18,468815.63,80664,114299,43664,57000
26/6/18,467344.84,83518,120036,45518,58000
26/7/18,465816.27,86885,125773,47885,59000
26/8/18,464301.56,90670,131528,50670,60000
26/9/18,462749.04,95299,137284,54299,61000
26/10/18,461121,103962,143040,60121,63841
26/11/18,,,,,
26/12/18,,,,,
26/1/19,,,,,
26/2/19,,,,,
26/3/19,,,,,
26/4/19,,,,,
26/5/19,,,,,
26/6/19,,,,,
26/7/19,,,,,
26/8/19,,,,,
26/9/19,,,,,
26/10/19,,,,,
26/11/19,,,,,
26/12/19,,,,,
26/1/20,,,,,
26/2/20,,,,,
26/3/20,,,,,
26/4/20,,,,,
26/5/20,,,,,
26/6/20,,,,,
26/7/20,,,,,
26/8/20,,,,,
26/9/20,,,,,
26/10/20,,,,,
26/11/20,,,,,
26/12/20,,,,,